attrib1,attrib2,attrib3,class
7.308781907,4.100808115,2.077148413,1
6.588672395,7.107396276,1.527362013,1
9.398653888,9.471949177,9.370821489,1
9.13962876,1.593395515,3.690025584,1
1.15967088,7.705358801,6.598927087,1
7.616746929,6.239725372,8.792629644,1
8.052277715,0.05025176,5.231351558,0
7.050099543,2.750299496,0.753877989,1
5.771002614,2.049135458,6.233638106,0
0.012985768,6.835265035,4.862595823,0
5.403970648,9.738340099,2.454265536,1
8.45655668,4.065408324,9.498398488,0
8.899087517,0.383268933,5.923792439,1
2.288019824,9.918821104,5.862483976,0
2.067375074,3.746495003,4.633497876,0
2.907321966,0.514483676,1.835401952,0
6.304048639,9.095840356,5.076599161,1
1.16670302,1.368304686,5.460894066,0
9.624145927,2.094927335,1.726488209,1
8.011570656,1.098410575,5.187868594,1
6.990066224,2.046355522,2.549094513,1
1.743710969,6.995915768,9.289718539,1
8.363149478,1.631035274,6.374974299,1
6.544260179,3.728733094,9.10566209,1
7.070442261,7.233716462,5.094929197,1
1.396138095,5.965788023,9.472601686,0
1.236712285,6.169513867,4.818623553,1
0.63449243,5.908697997,2.840091674,0
0.730260202,0.740479273,6.799354202,0
3.533391894,1.549749948,3.667713158,0
5.986324883,2.920934114,8.764426533,1
5.397618625,6.418366935,9.706215452,1
7.298239289,8.867444224,0.437026983,1
3.386552909,2.991262511,0.842521051,1
7.638204882,4.277000814,9.991834308,1
6.304712234,5.528079207,5.434191028,1
9.072811901,2.464856313,2.484887671,1
8.540497771,7.777116836,2.16406663,1
0.244721298,4.510085026,3.691343155,0
1.310681131,0.420465272,8.242939221,0
7.433696228,9.291026104,5.898935295,1
0.0835173,5.463739749,8.355200336,0
8.805986698,6.304014408,9.288937133,1
2.559626513,2.413355732,4.242532409,0
3.786228754,7.866092458,7.127521678,1
7.975630576,5.270359372,4.176354008,1
6.670733532,4.264430474,4.005571613,1
5.472240204,0.75407576,6.511446584,0
5.127188234,4.786758722,1.311688131,1
4.496849096,2.678978546,9.47847839,0
7.779502724,2.88100716,7.813547336,1
9.657951146,7.803252822,3.170248932,1
1.30221928,2.344740875,6.56082439,0
9.002531403,0.358948745,3.764263231,1
7.237512084,7.769909657,2.422761428,1
5.690815813,4.540692393,4.697350502,1
6.379468961,3.033671448,0.653970211,1
3.350690494,5.793621872,5.213967309,1
3.719405135,8.571270427,8.070763655,1
0.993212948,6.798073356,4.161747198,0
0.743613763,6.091410814,1.786623594,0
1.535480128,9.303413671,4.595105516,1
6.912259325,3.490107239,2.281355023,1
3.379349946,8.337981822,3.882611173,1
3.489813877,0.530934643,6.061902042,0
6.61555582,8.852840568,1.891668282,1
6.864305833,2.245738702,4.445994347,1
1.059359913,9.83462716,6.010313677,1
8.157702415,1.555786351,4.534042359,1
8.912893765,1.561528969,7.461969601,1
6.961128823,0.948774052,9.58808055,0
6.775947515,4.540749503,2.745849945,1
4.699535995,8.196823892,9.690972473,1
8.717937212,0.517524781,7.261926054,0
1.003753698,8.189424032,7.478598073,1
2.264570759,4.613744284,9.307334603,0
9.451020902,0.275738906,7.469231771,1
5.005414179,0.965814306,1.443545067,1
8.187796102,2.148099348,8.337721029,1
8.264130598,2.981653916,1.588644952,1
4.61382709,1.196398125,5.105833271,1
5.670332023,3.709958577,9.3414562,0
8.822351982,8.799772069,0.604598841,1
8.070985709,6.609951738,2.855527646,1
2.929819962,8.855046786,5.443435774,1
9.857786921,9.458034984,9.471917158,1
2.49284965,7.966813038,7.079271001,1
7.181457848,9.030188632,4.251469147,1
9.611818478,2.381134913,4.53188192,1
5.499313036,4.547298865,7.26117967,0
8.643764331,7.989181522,3.497806067,1
3.307223602,5.052657192,1.645981987,1
6.696159391,5.177063829,5.543976035,1
5.192355123,2.020534005,3.459390869,0
4.783721386,8.752899736,4.124412921,1
5.21825919,4.341976071,3.102072663,1
8.519218163,0.491338523,8.89825868,1
7.171533348,8.270075364,3.842124802,1
7.714686577,3.593386448,6.03125252,1
3.0571864,4.715444875,3.461687961,0
